218,0,66,1,152,66,32,298,457,98,755,3461,0.01,100.0,346100.0,1.15,19227.78,68,34,21,28,3,32,0.21,1.21,21,0.66,0.15,0,0
29,0,18,1,11,7,5,7,12,12,19,47,0.4,2.5,117.5,0.02,6.53,2,1,2,0,0,2,0.18,0.0,2,1.0,0.07,0,0
6538,846,2035,5,3657,833,51,12900,16232,884,29132,197644,0.0,0.0,0.0,65.88,0.0,2648,1324,994,1096,131,1189,0.33,1.21,994,0.84,0.18,0,0
173,36,96,1,41,24,9,39,52,33,91,318,0.14,7.14,2271.43,0.11,126.19,0,0,6,0,0,1,0.02,0.0,6,6.0,0.01,0,0
15599,55,151,1,15393,43894,31,242066,242243,43925,484309,5177378,0.01,100.0,5.177378E8,1725.79,2.876321111E7,148,74,6,64,15,57,0.0,1.16,6,0.11,0.0,0,0
32,0,18,1,14,5,8,7,17,13,24,61,0.18,5.56,338.89,0.02,18.83,4,2,0,1,0,3,0.21,2.0,0,0.0,0.09,0,0
670,93,51,1,526,298,37,1285,1779,335,3064,17814,0.01,100.0,1781400.0,5.94,98966.67,158,79,82,67,9,69,0.13,1.18,82,1.19,0.1,0,0
144,0,17,1,127,54,10,191,242,64,433,1800,0.06,16.67,30000.0,0.6,1666.67,48,24,24,24,1,23,0.18,1.0,24,1.04,0.16,0,0
268,50,17,2,201,64,14,461,536,78,997,4343,0.02,50.0,217150.0,1.45,12063.89,28,14,49,14,0,15,0.07,1.0,49,3.27,0.06,0,1
137,10,32,1,95,54,14,148,199,68,347,1464,0.05,20.0,29280.0,0.49,1626.67,32,16,19,14,1,16,0.17,1.14,19,1.19,0.12,0,0
262,28,59,1,175,101,28,400,482,129,882,4286,0.02,50.0,214300.0,1.43,11905.56,24,12,31,9,3,10,0.06,1.33,31,3.1,0.04,0,1
229,30,49,1,150,83,34,450,519,117,969,4614,0.01,100.0,461400.0,1.54,25633.33,38,19,35,13,2,18,0.12,1.46,35,1.94,0.08,0,0
147,0,74,1,73,42,19,147,135,61,282,1159,0.03,33.33,38633.33,0.39,2146.3,4,2,15,2,1,2,0.03,1.0,15,7.5,0.01,0,0
155,12,28,1,115,59,24,269,353,83,622,2748,0.02,50.0,137400.0,0.92,7633.33,44,22,16,20,0,23,0.2,1.1,16,0.7,0.15,0,0
303,31,72,1,200,207,14,502,572,221,1074,5797,0.06,16.67,96616.67,1.93,5367.59,0,0,75,0,0,1,0.01,0.0,75,75.0,0.0,0,0
221,23,51,1,147,78,29,356,429,107,785,3668,0.02,50.0,183400.0,1.22,10188.89,52,26,22,22,5,21,0.14,1.18,22,1.05,0.1,0,1
271,23,31,1,217,86,30,347,515,116,862,4097,0.02,50.0,204850.0,1.37,11380.56,66,33,35,26,5,29,0.13,1.27,35,1.21,0.11,0,0
148,9,19,1,120,45,17,184,280,62,464,1914,0.03,33.33,63800.0,0.64,3544.44,20,10,30,7,1,10,0.08,1.43,30,3.0,0.07,0,1
133,4,32,1,97,58,23,168,249,81,417,1832,0.03,33.33,61066.67,0.61,3392.59,20,10,4,5,0,11,0.11,2.0,4,0.36,0.08,0,0
451,50,54,1,347,203,41,986,1275,244,2261,12429,0.01,100.0,1242900.0,4.14,69050.0,160,80,86,65,10,71,0.2,1.23,86,1.21,0.16,0,1
786,0,402,1,384,371,30,1993,2413,401,4406,26409,0.01,100.0,2640900.0,8.8,146716.67,40,20,74,13,1,20,0.05,1.54,74,3.7,0.03,0,1
82,2,22,1,58,109,11,188,187,120,375,1795,0.11,9.09,16318.18,0.6,906.57,2,1,12,0,0,2,0.03,0.0,12,6.0,0.02,0,0
321,31,33,1,257,138,30,681,903,168,1584,8116,0.01,100.0,811600.0,2.71,45088.89,112,56,64,48,14,43,0.17,1.17,64,1.49,0.13,0,1
128,0,41,1,87,36,18,130,161,54,291,1160,0.03,33.33,38666.67,0.39,2148.15,18,9,16,9,2,7,0.08,1.0,16,2.29,0.05,0,1
100,3,35,2,62,30,13,46,73,43,119,447,0.1,10.0,4470.0,0.15,248.33,16,8,14,5,0,9,0.15,1.6,14,1.56,0.09,0,0
379,0,149,1,230,52,31,310,451,83,761,3362,0.01,100.0,336200.0,1.12,18677.78,62,31,5,18,5,27,0.12,1.72,5,0.19,0.07,0,0
106,23,9,0,74,74,22,188,223,96,411,1875,0.04,25.0,46875.0,0.63,2604.17,22,11,27,7,2,10,0.14,1.57,27,2.7,0.09,0,1
126,3,37,1,86,193,20,372,431,213,803,4305,0.05,20.0,86100.0,1.44,4783.33,30,15,9,11,2,14,0.16,1.36,9,0.64,0.11,0,0
180,17,16,1,147,144,29,490,552,173,1042,5369,0.02,50.0,268450.0,1.79,14913.89,42,21,15,17,1,21,0.14,1.24,15,0.71,0.12,0,0
170,9,23,1,138,134,11,339,367,145,706,3513,0.07,14.29,50185.71,1.17,2788.1,2,1,100,1,0,2,0.01,1.0,100,50.0,0.01,0,1
53,0,24,1,29,22,11,37,44,33,81,283,0.11,9.09,2572.73,0.09,142.93,6,3,0,3,1,3,0.1,1.0,0,0.0,0.06,0,0
3751,416,377,1,2958,1318,42,10332,11630,1360,21962,158461,0.01,100.0,1.58461E7,52.82,880338.89,1294,647,821,511,129,514,0.17,1.27,821,1.6,0.14,0,0
1144,0,367,1,777,77,32,673,1336,109,2009,9424,0.01,100.0,942400.0,3.14,52355.56,172,86,28,36,3,84,0.11,2.39,28,0.33,0.07,0,0
191,31,17,1,143,51,13,327,360,64,687,2857,0.02,50.0,142850.0,0.95,7936.11,16,8,29,8,0,9,0.06,1.0,29,3.22,0.05,0,0
778,85,92,1,601,556,35,1793,2214,591,4007,25571,0.02,50.0,1278550.0,8.52,71030.56,316,158,200,154,44,114,0.19,1.03,200,1.75,0.15,0,1
108,3,33,1,72,47,15,103,129,62,232,957,0.06,16.67,15950.0,0.32,886.11,24,12,18,8,4,9,0.13,1.5,18,2.0,0.08,0,0
841,129,106,1,606,227,32,1487,1901,259,3388,18826,0.01,100.0,1882600.0,6.28,104588.89,232,116,87,103,15,100,0.17,1.13,87,0.87,0.12,0,0
37,0,17,1,20,15,10,48,52,25,100,321,0.06,16.67,5350.0,0.11,297.22,4,2,2,2,0,3,0.15,1.0,2,0.67,0.08,0,0
155,0,33,1,122,87,29,262,343,116,605,2875,0.02,50.0,143750.0,0.96,7986.11,36,18,17,15,1,17,0.14,1.2,17,1.0,0.11,0,0
369,49,61,1,259,160,33,726,875,193,1601,8425,0.01,100.0,842500.0,2.81,46805.56,84,42,62,35,3,40,0.15,1.2,62,1.55,0.11,0,1
100,0,38,1,62,47,20,93,122,67,215,904,0.05,20.0,18080.0,0.3,1004.44,50,25,7,23,2,23,0.37,1.09,7,0.3,0.23,0,0
26,0,15,1,11,7,4,12,11,11,23,55,0.29,3.45,189.66,0.02,10.54,0,0,4,0,0,1,0.09,0.0,4,4.0,0.04,0,0
68,0,16,1,52,35,14,88,104,49,192,747,0.06,16.67,12450.0,0.25,691.67,12,6,8,6,1,6,0.12,1.0,8,1.33,0.09,0,0
